Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name
1,SC Ganguly,7/8/1972,1,1,1
2,BB McCullum,9/27/1981,2,1,4
3,RT Ponting,12/19/1974,2,1,5
4,DJ Hussey,7/15/1977,2,2,5
5,Mohammad Hafeez,10/17/1980,2,2,6
6,R Dravid,1/11/1973,2,2,1
7,W Jaffer,2/16/1978,2,2,1
8,V Kohli,11/5/1988,2,1,1
9,JH Kallis,10/16/1975,2,3,2
10,CL White,8/18/1983,2,4,5
11,MV Boucher,12/3/1976,2,1,2
12,B Akhil,10/7/1977,2,5,1
13,AA Noffke,4/30/1977,2,3,5
14,P Kumar,10/2/1986,2,1,1
15,Z Khan,10/7/1978,2,6,1
16,SB Joshi,6/6/1970,1,7,1
17,PA Patel,3/9/1985,1,,1
18,ML Hayden,10/29/1971,1,1,5
19,MEK Hussey,5/27/1975,1,1,5
20,MS Dhoni,7/7/1981,2,1,1
21,SK Raina,11/27/1986,1,2,1
22,JDP Oram,7/28/1978,1,3,4
23,S Badrinath,8/30/1980,2,2,1
24,K Goel,12/24/1986,1,2,1
25,JR Hopes,10/24/1978,2,1,5
26,KC Sangakkara,10/27/1977,1,2,7
27,Yuvraj Singh,12/12/1981,1,7,1
28,SM Katich,8/21/1975,1,8,5
29,IK Pathan,10/27/1984,1,9,1
30,T Kohli,12/17/1988,2,1,1
31,YK Pathan,11/17/1982,2,2,1
32,SR Watson,6/17/1981,2,3,5
33,M Kaif,12/1/1980,2,2,1
34,DS Lehmann,2/5/1970,1,7,5
35,RA Jadeja,12/6/1988,1,7,1
36,M Rawat,10/25/1985,2,,1
37,D Salunkhe,11/12/1982,2,10,1
38,SK Warne,9/13/1969,2,4,5
39,SK Trivedi,9/4/1982,2,1,1
40,G Gambhir,10/14/1981,1,10,1
41,V Sehwag,10/20/1978,2,2,1
42,S Dhawan,12/5/1985,1,2,1
43,L Ronchi,4/23/1981,2,,5
44,ST Jayasuriya,6/30/1969,1,7,7
45,DJ Thornely,10/1/1978,2,1,5
46,RV Uthappa,11/11/1985,2,1,1
47,PR Shah,11/3/1987,2,,1
48,AM Nayar,10/8/1983,1,1,1
49,SM Pollock,7/16/1973,2,3,2
50,Harbhajan Singh,7/3/1980,2,2,1
51,S Chanderpaul,8/16/1974,1,10,8
52,LRPL Taylor,3/8/1984,2,2,4
53,AC Gilchrist,11/14/1971,1,2,5
54,Y Venugopal Rao,2/26/1982,2,2,1
55,VVS Laxman,11/1/1974,2,2,1
56,A Symonds,6/9/1975,2,2,5
57,RG Sharma,4/30/1987,2,2,1
58,SB Styris,7/10/1975,2,1,4
59,SB Bangar,10/11/1972,2,5,1
60,WPUJC Vaas,1/27/1974,1,6,7
61,RP Singh,12/6/1985,2,6,1
62,WP Saha,10/24/1984,2,,1
63,LR Shukla,5/6/1981,2,1,1
64,DPMD Jayawardene,5/27/1977,2,1,7
65,S Sohal,11/10/1987,2,10,1
66,B Lee,11/8/1976,2,11,5
67,PP Chawla,12/24/1988,1,10,1
68,WA Mota,9/20/1981,2,1,1
69,Kamran Akmal,1/13/1982,2,,6
70,Shahid Afridi,3/1/1980,2,4,6
71,DJ Bravo,10/7/1983,2,5,8
72,MA Khote,4/22/1980,2,1,1
73,A Nehra,4/29/1979,2,9,1
74,GC Smith,2/1/1981,1,2,2
75,Pankaj Singh,5/6/1985,2,5,1
76,RR Sarwan,6/23/1980,2,10,8
77,S Sreesanth,2/6/1983,2,3,1
78,VRV Singh,9/17/1984,2,5,1
79,SS Tiwary,12/30/1989,1,,1
80,DS Kulkarni,12/10/1988,2,1,1
81,R Vinay Kumar,2/12/1984,2,1,1
82,AB Agarkar,12/4/1977,2,11,1
83,M Kartik,9/11/1976,1,7,1
84,I Sharma,9/2/1988,2,3,1
85,AM Rahane,6/6/1988,2,1,1
86,Shoaib Malik,2/1/1982,2,2,6
87,MK Tiwary,11/14/1985,2,4,1
88,KD Karthik,6/1/1985,2,,1
89,R Bhatia,10/22/1979,2,5,1
90,MF Maharoof,9/7/1984,2,3,1
91,VY Mahesh,12/21/1987,2,5,1
92,TM Srivastava,11/7/1989,1,1,1
93,B Chipli,1/27/1983,2,1,1
94,DW Steyn,6/27/1983,2,11,2
95,DB Das,9/22/1986,2,4,1
96,MK Pandey,9/10/1989,2,1,1
97,HH Gibbs,2/23/1974,2,12,2
98,DNT Zoysa,5/13/1978,1,6,7
99,D Kalyankrishna,12/16/1983,2,5,1
100,SE Marsh,7/9/1983,1,7,5
101,SA Asnodkar,3/29/1984,2,2,1
102,Sohail Tanvir,12/12/1984,1,9,6
103,Salman Butt,10/7/1984,1,2,6
104,BJ Hodge,12/29/1974,2,2,5
105,Umar Gul,4/14/1984,2,3,6
106,AB Dinda,3/25/1984,2,5,1
107,SP Fleming,4/1/1973,1,,4
108,S Vidyut,12/3/1981,1,7,1
109,JA Morkel,6/10/1981,1,5,2
110,AB de Villiers,2/17/1984,2,1,2
111,LPC Silva,12/14/1979,2,10,7
112,DB Ravi Teja,9/5/1987,2,4,1
113,Misbah-ul-Haq,5/28/1974,2,10,6
114,YV Takawale,11/5/1984,2,,1
115,RR Raje,9/3/1986,2,3,1
116,PJ Sangwan,11/5/1990,2,13,1
117,Mohammad Asif,12/20/1982,1,3,6
118,GD McGrath,2/9/1970,2,3,5
119,Joginder Sharma,10/23/1983,2,3,1
120,MS Gony,1/4/1984,2,1,1
121,M Muralitharan,4/17/1972,2,2,7
122,M Ntini,7/6/1977,2,11,2
123,DT Patil,12/6/1984,2,,1
124,A Kumble,10/17/1970,2,4,1
125,S Anirudha,4/14/1987,2,,1
126,MM Patel,7/12/1983,2,5,1
