,Player_Id,Player_Name,Year,Runs_Scored
40,8,V Kohli,2016,969
793,187,DA Warner,2016,848
544,110,AB de Villiers,2016,687
207,40,G Gambhir,2016,501
224,42,S Dhawan,2016,501
296,57,RG Sharma,2016,489
431,85,AM Rahane,2016,480
782,185,M Vijay,2016,453
1254,355,Q de Kock,2016,445
114,21,SK Raina,2016,399
1250,354,KL Rahul,2016,397
239,46,RV Uthappa,2016,394
1002,254,AJ Finch,2016,393
163,31,YK Pathan,2016,361
1218,339,KK Nair,2016,357
13,2,BB McCullum,2016,354
449,88,KD Karthik,2016,335
876,208,AT Rayudu,2016,334
662,147,DR Smith,2016,324
1244,351,SV Samson,2016,291
105,20,MS Dhoni,2016,284
318,62,WP Saha,2016,270
1137,306,SPD Smith,2016,270
1360,407,JC Buttler,2016,255
489,96,MK Pandey,2016,248
1366,413,KH Pandya,2016,237
142,27,Yuvraj Singh,2016,236
712,162,CH Gayle,2016,227
913,221,KA Pollard,2016,208
1126,303,F du Plessis,2016,206
1373,420,RR Pant,2016,198
1240,350,CH Morris,2016,195
688,154,JP Duminy,2016,191
184,35,RA Jadeja,2016,191
1207,334,AD Russell,2016,188
718,163,MC Henriques,2016,182
1143,308,SA Yadav,2016,182
171,32,SR Watson,2016,179
1132,305,GJ Maxwell,2016,179
86,17,PA Patel,2016,177
392,79,SS Tiwary,2016,170
1175,320,DA Miller,2016,161
1229,345,M Vohra,2016,161
503,100,SE Marsh,2016,159
1380,427,HM Amla,2016,157
1072,280,NLTC Perera,2016,150
1362,409,MP Stoinis,2016,146
1342,394,DJ Hooda,2016,144
773,183,NV Ojha,2016,136
1379,426,UT Khawaja,2016,127
1345,396,KS Williamson,2016,124
902,216,EJG Morgan,2016,123
1290,369,Sachin Baby,2016,119
1061,276,Shakib Al Hasan,2016,114
1195,329,Gurkeerat Singh,2016,113
1304,374,AR Patel,2016,111
1384,431,N Rana,2016,104
362,71,DJ Bravo,2016,99
259,50,Harbhajan Singh,2016,92
1374,421,SW Billings,2016,88
834,197,GJ Bailey,2016,84
1361,408,CR Brathwaite,2016,83
1151,310,JP Faulkner,2016,77
699,158,KP Pietersen,2016,73
1354,402,SN Khan,2016,66
1324,385,BCJ Cutting,2016,65
1009,255,STR Binny,2016,63
1368,415,MJ Guptill,2016,57
1181,322,P Negi,2016,57
1370,417,TM Head,2016,54
926,228,Bipul Sharma,2016,51
1187,325,A Ashish Reddy,2016,47
1350,400,HH Pandya,2016,44
1117,299,B Kumar,2016,43
1363,410,Ishan Kishan,2016,42
961,237,KM Jadhav,2016,42
852,201,R Ashwin,2016,41
648,140,Iqbal Abdulla,2016,37
725,166,KV Sharma,2016,36
1356,403,MJ McClenaghan,2016,34
458,89,R Bhatia,2016,34
1278,364,MM Sharma,2016,32
1340,393,SS Iyer,2016,30
1364,411,C Munro,2016,30
1310,377,TG Southee,2016,30
399,80,DS Kulkarni,2016,27
349,67,PP Chawla,2016,27
1025,260,MA Agarwal,2016,27
1212,336,CA Lynn,2016,25
69,14,P Kumar,2016,24
880,209,R Sathish,2016,24
1386,433,ER Dwivedi,2016,24
1372,419,NS Naik,2016,23
1336,391,JO Holder,2016,22
1367,414,AD Nath,2016,20
1365,412,P Sahu,2016,19
535,109,JA Morkel,2016,16
1381,428,F Behardien,2016,14
1258,356,R Dhawan,2016,14
1369,416,KJ Abbott,2016,13
1375,422,KC Cariappa,2016,13
408,81,R Vinay Kumar,2016,13
152,29,IK Pathan,2016,11
1282,366,Parvez Rasool,2016,10
940,232,UT Yadav,2016,9
1297,371,NM Coulter-Nile,2016,9
1306,375,JJ Bumrah,2016,8
869,207,AP Tare,2016,8
1286,367,Sandeep Sharma,2016,8
1321,383,LMP Simmons,2016,8
1165,315,SP Narine,2016,7
1294,370,PV Tambe,2016,7
995,253,MR Marsh,2016,7
76,15,Z Khan,2016,6
1378,425,J Yadav,2016,6
1376,423,PSP Handscomb,2016,6
1262,357,MG Johnson,2016,5
1352,401,D Wiese,2016,5
1327,386,Imran Tahir,2016,5
630,136,A Mishra,2016,4
1382,429,BB Sran,2016,4
1387,434,CJ Jordan,2016,3
1160,314,Ankit Sharma,2016,3
1234,347,Mohammed Shami,2016,2
1332,388,S Gopal,2016,2
477,94,DW Steyn,2016,1
370,73,A Nehra,2016,1
785,186,SB Jakati,2016,1
807,190,M Morkel,2016,1
1100,293,S Nadeem,2016,1
1274,363,KW Richardson,2016,1
1033,262,UBT Chand,2016,0
1371,418,M Ashwin,2016,0
1377,424,Swapnil Singh,2016,0
1383,430,A Zampa,2016,0
1385,432,S Kaushik,2016,0
